Date, Open, High, Low, Close, Volume
02/23/23, 15.13, 15.34, 14.28, 15.08, 94198039
02/22/23, 14.11, 14.41, 13.54, 13.83, 70471477
02/21/23, 14.789, 15.31, 13.89, 14.01, 68114430
02/17/23, 15.98, 16.12, 15.04, 15.50, 82870992
02/16/23, 16.65, 17.165, 16.18, 16.28, 81774117
02/15/23, 16.81, 17.59, 16.43, 17.54, 74977234
02/14/23, 16.06, 17.53, 15.6707, 17.33, 111460797
02/13/23, 15.99, 16.6199, 15.57, 16.42, 60332273
02/10/23, 16.06, 16.22, 15.25, 15.80, 78447742
02/09/23, 17.33, 17.90, 16.21, 16.58, 84793445
02/08/23, 17.33, 17.69, 16.35, 16.49, 72392875
02/07/23, 16.22, 17.85, 16.13, 17.59, 119100898
02/06/23, 16.12, 16.86, 15.855, 16.10, 77254789
02/03/23, 16.78, 18.13, 16.595, 16.93, 94867633
02/02/23, 17.33, 18.395, 17.01, 17.92, 116420898
02/01/23, 14.73, 17.28, 14.68, 16.80, 150219906
01/31/23, 13.67, 14.55, 13.64, 14.52, 97363344
01/30/23, 14.35, 14.62, 13.7327, 13.80, 81286680
01/27/23, 14.50, 15.36, 14.35, 14.98, 101402602
01/26/23, 15.015, 15.30, 14.30, 15.24, 111443297
01/25/23, 13.71, 14.63, 13.331, 14.53, 93424781
01/24/23, 14.29, 14.85, 14.16, 14.44, 75815969
01/23/23, 13.18, 14.91, 13.13, 14.74, 125178203
01/20/23, 12.11, 12.86, 11.75, 12.79, 89921570
01/19/23, 12.48, 12.52, 11.62, 11.77, 99618414
01/18/23, 13.45, 13.76, 12.81, 12.82, 82050406
01/17/23, 12.88, 13.43, 12.67, 13.06, 74500484
01/13/23, 12.365, 13.00, 12.27, 12.95, 74389773
01/12/23, 12.59, 13.08, 11.82, 12.82, 135343391
01/11/23, 11.98, 12.43, 11.6501, 12.40, 80469375
01/10/23, 11.38, 11.99, 11.19, 11.97, 90401430
01/09/23, 11.528, 12.27, 11.28, 11.53, 136968297
01/06/23, 9.95, 11.0699, 9.56, 10.87, 123492602
01/05/23, 9.80, 10.00, 9.53, 9.57, 83312812
01/04/23, 9.88, 10.27, 9.58, 10.07, 114576602
01/03/23, 10.17, 10.21, 9.19, 9.36, 97509789
12/30/22, 9.27, 9.70, 9.06, 9.67, 64369809
12/29/22, 9.28, 9.83, 9.18, 9.67, 90966016
12/28/22, 9.10, 9.4299, 8.74, 8.86, 83917328
12/27/22, 9.58, 9.59, 9.13, 9.27, 78142070
12/23/22, 9.59, 9.81, 9.23, 9.77, 92378625
12/22/22, 10.54, 10.56, 9.11, 9.78, 135617297
12/21/22, 10.63, 11.27, 10.595, 11.14, 83240398
12/20/22, 10.25, 10.75, 10.16, 10.41, 88303961
12/19/22, 11.12, 11.15, 10.345, 10.69, 82876828
12/16/22, 11.20, 11.48, 10.77, 11.11, 88813766
12/15/22, 12.23, 12.38, 11.32, 11.40, 107181695
12/14/22, 13.51, 14.03, 12.54, 13.00, 139612297
12/13/22, 14.72, 14.91, 13.14, 13.63, 180078891
12/12/22, 12.142, 13.01, 11.94, 12.98, 73482156
12/09/22, 12.491, 12.99, 12.18, 12.32, 88787375
12/08/22, 11.89, 12.72, 11.65, 12.62, 101888305
12/07/22, 11.408, 11.93, 11.33, 11.70, 86276680
12/06/22, 12.54, 12.60, 11.38, 11.72, 86923406
12/05/22, 12.80, 13.16, 12.20, 12.59, 71095078
12/02/22, 12.49, 13.13, 12.30, 13.03, 98017711
12/01/22, 14.09, 14.13, 12.94, 13.50, 112133906
11/30/22, 11.835, 13.85, 11.52, 13.82, 133385797
11/29/22, 11.95, 12.18, 11.50, 11.73, 75055953
11/28/22, 12.36, 12.76, 11.60, 11.84, 88545617
11/25/22, 13.13, 13.26, 12.83, 12.86, 41754512
11/23/22, 12.90, 13.75, 12.84, 13.32, 113790602
11/22/22, 12.139, 12.94, 11.85, 12.90, 86949641
11/21/22, 12.07, 12.20, 11.74, 11.89, 84238203
11/18/22, 12.99, 13.03, 12.07, 12.49, 117064094
11/17/22, 11.34, 12.58, 11.31, 12.37, 128795398
11/16/22, 12.928, 12.99, 11.87, 12.13, 112310398
11/15/22, 14.34, 14.44, 13.31, 13.87, 159797703
11/14/22, 12.988, 13.51, 12.7269, 12.77, 108739602
11/11/22, 12.28, 13.41, 11.83, 13.22, 166468406
11/10/22, 10.80, 12.17, 10.56, 12.08, 196270297
11/09/22, 9.739, 9.82, 9.18, 9.24, 107444898
11/08/22, 10.109, 10.56, 9.61, 10.17, 147373297
11/07/22, 9.268, 9.69, 8.88, 9.59, 105846703
11/04/22, 8.72, 9.06, 8.42, 8.99, 173041703
11/03/22, 7.782, 8.29, 7.53, 7.89, 135668703
11/02/22, 9.27, 9.77, 8.20, 8.24, 174985594
11/01/22, 9.41, 9.52, 8.94, 9.10, 108638203
10/31/22, 9.30, 9.345, 8.75, 8.92, 118351000
10/28/22, 8.56, 9.56, 8.49, 9.50, 129291602
10/27/22, 9.16, 9.44, 8.48, 8.52, 129662305
10/26/22, 8.74, 9.67, 8.552, 9.01, 143571594
10/25/22, 8.798, 9.47, 8.75, 9.26, 127146898
10/24/22, 8.64, 8.81, 8.08, 8.68, 147205703
10/21/22, 7.65, 8.64, 7.55, 8.58, 178616609
10/20/22, 7.70, 8.42, 7.59, 7.70, 170614594
10/19/22, 7.27, 7.80, 7.20, 7.57, 134272406
10/18/22, 8.04, 8.21, 7.04, 7.40, 185506406
10/17/22, 7.47, 7.67, 7.20, 7.33, 113321508
10/14/22, 8.26, 8.27, 6.87, 6.93, 177216094
10/13/22, 6.42, 8.36, 6.21, 8.00, 284532719
10/12/22, 7.49, 7.62, 7.23, 7.34, 110516492
10/11/22, 7.81, 8.02, 7.20, 7.57, 186475203
10/10/22, 9.07, 9.09, 7.86, 8.28, 163448703
10/07/22, 10.18, 10.2799, 9.00, 9.21, 134873297
10/06/22, 11.291, 11.92, 11.05, 11.19, 117138000
10/05/22, 10.53, 11.66, 10.21, 11.42, 110030203
10/04/22, 10.578, 11.095, 10.54, 11.04, 114533102
10/03/22, 9.085, 10.00, 8.88, 9.70, 126786094
09/30/22, 8.895, 9.61, 8.74, 8.86, 109534305
09/29/22, 9.698, 9.74, 8.80, 9.29, 128122602
09/28/22, 9.57, 10.345, 9.445, 10.17, 119412703
09/27/22, 10.04, 10.28, 9.39, 9.81, 115839398
09/26/22, 9.91, 10.36, 9.50, 9.55, 96464844
09/23/22, 10.07, 10.14, 9.45, 10.03, 120047000
09/22/22, 11.17, 11.32, 10.25, 10.51, 112096094
09/21/22, 11.76, 12.92, 11.38, 11.40, 125021297
09/20/22, 11.85, 12.04, 11.425, 11.70, 70577438
09/19/22, 11.615, 12.44, 11.57, 12.26, 75532234
09/16/22, 11.47, 12.10, 11.18, 12.06, 87622141
09/15/22, 12.23, 12.67, 11.592, 11.91, 94630625
09/14/22, 12.28, 12.74, 11.94, 12.46, 65846922
09/13/22, 13.15, 13.49, 11.95, 12.09, 85975602
09/12/22, 14.83, 15.05, 14.30, 14.78, 67153289
09/09/22, 14.26, 14.85, 14.192, 14.65, 81908922
09/08/22, 12.64, 13.80, 12.37, 13.65, 103258305
09/07/22, 12.42, 13.315, 12.23, 12.99, 79632727
09/06/22, 12.91, 13.03, 12.07, 12.42, 79919133
09/02/22, 13.84, 14.14, 12.625, 12.86, 100737203
09/01/22, 13.03, 13.26, 11.97, 13.22, 113345602
08/31/22, 14.69, 14.6954, 13.66, 14.04, 86870516
08/30/22, 15.50, 15.57, 13.96, 14.47, 77063102
08/29/22, 15.48, 16.05, 14.95, 15.05, 61062660
08/26/22, 19.25, 19.33, 15.95, 15.98, 84676883
08/25/22, 17.46, 19.3786, 17.42, 19.32, 58659820
08/24/22, 17.25, 17.59, 16.77, 17.41, 42087500
08/23/22, 17.08, 18.06, 17.0107, 17.33, 49723152
08/22/22, 18.10, 18.15, 16.77, 17.04, 51389367
08/19/22, 20.06, 20.38, 18.885, 19.17, 49700781
08/18/22, 19.72, 21.36, 19.50, 20.89, 50790820
08/17/22, 20.18, 20.20, 18.71, 19.55, 67988766
08/16/22, 21.478, 21.7399, 20.39, 21.14, 48777207
08/15/22, 21.24, 21.965, 20.80, 21.78, 48991641
08/12/22, 20.24, 21.72, 19.98, 21.60, 57238441
08/11/22, 20.468, 21.60, 19.68, 19.78, 70069242
08/10/22, 19.08, 20.02, 18.39, 19.91, 69125328
08/09/22, 19.2299, 19.2299, 16.91, 17.69, 65153609
08/08/22, 20.65, 21.39, 19.57, 20.54, 59705820
08/05/22, 20.96, 22.12, 20.5724, 21.56, 60067848
08/04/22, 21.47, 22.27, 21.22, 22.07, 56294648
08/03/22, 19.98, 21.72, 19.87, 21.55, 57214559
08/02/22, 19.43, 20.8694, 19.11, 19.92, 60816473
08/01/22, 19.41, 20.605, 19.03, 20.01, 61205078
07/29/22, 18.5741, 19.99, 18.3201, 19.83, 61313520
07/28/22, 18.855, 19.52, 17.575, 19.37, 69548086
07/27/22, 17.32, 19.12, 17.1701, 18.73, 78797562
07/26/22, 16.926, 17.24, 16.25, 16.43, 48959680
07/25/22, 17.225, 17.3699, 16.43, 17.30, 43336793
07/22/22, 18.84, 18.91, 17.15, 17.65, 65689500
07/21/22, 18.52, 19.1199, 17.6814, 19.10, 80210812
07/20/22, 16.83, 18.44, 16.50, 18.20, 85890570
07/19/22, 15.61, 17.17, 15.50, 16.95, 78348516
07/18/22, 15.83, 16.18, 14.63, 14.92, 83926602
07/15/22, 14.75, 15.15, 14.04, 15.11, 74112367
07/14/22, 13.165, 14.26, 12.54, 14.07, 78227930
07/13/22, 12.18, 13.56, 12.125, 13.29, 70014141
07/12/22, 13.18, 13.45, 12.72, 12.97, 53368391
07/11/22, 13.25, 13.45, 12.65, 12.91, 52520578
07/08/22, 13.13, 14.17, 12.96, 13.91, 77437195
07/07/22, 12.91, 13.8899, 12.91, 13.71, 75926273
07/06/22, 11.92, 12.4966, 11.52, 12.09, 77177805
07/05/22, 10.74, 11.90, 10.53, 11.85, 82942172
07/01/22, 12.49, 12.60, 11.13, 11.60, 92067117
06/30/22, 13.03, 13.8297, 12.38, 13.10, 70274922
06/29/22, 14.00, 14.04, 13.0335, 13.55, 61516648
06/28/22, 16.00, 16.58, 14.5165, 14.56, 57344566
06/27/22, 16.31, 16.458, 15.3712, 15.80, 43426922
06/24/22, 14.635, 15.85, 14.57, 15.81, 60548238
06/23/22, 14.58, 14.59, 13.34, 14.01, 47625273
06/22/22, 14.04, 14.97, 13.94, 14.29, 49362219
06/21/22, 14.54, 15.43, 14.49, 14.80, 57522793
06/17/22, 13.65, 14.02, 12.78, 13.70, 64012848
06/16/22, 15.14, 15.19, 12.99, 13.57, 90753047
06/15/22, 16.35, 17.43, 15.47, 16.61, 77001844
06/14/22, 16.01, 16.22, 15.21, 15.76, 52253406
06/13/22, 16.925, 17.405, 15.34, 15.55, 77061320
06/10/22, 19.98, 20.51, 18.66, 18.81, 58923992
06/09/22, 22.39, 23.56, 21.03, 21.09, 37937152
06/08/22, 24.165, 24.46, 22.42, 22.91, 38501551
06/07/22, 23.015, 24.74, 22.54, 24.60, 37067473
06/06/22, 25.245, 25.58, 23.48, 23.91, 40513980
06/03/22, 24.55, 24.949, 23.50, 23.93, 42093180
06/02/22, 23.40, 26.28, 23.30, 26.20, 49439008
06/01/22, 25.34, 25.715, 22.71, 23.71, 52378461
05/31/22, 25.14, 25.595, 23.75, 24.86, 48671871
05/27/22, 23.60, 25.439, 23.592, 25.26, 54680352
05/26/22, 19.61, 22.83, 19.48, 22.54, 60520000
05/25/22, 18.73, 20.715, 18.72, 20.19, 54536340
05/24/22, 19.69, 19.88, 18.44, 19.10, 57291398
05/23/22, 19.93, 20.83, 19.4501, 20.63, 54498754
05/20/22, 21.54, 21.65, 17.6601, 20.36, 86718234
05/19/22, 20.55, 22.04, 19.90, 20.51, 62522000
05/18/22, 23.395, 24.345, 20.53, 20.85, 61497840
05/17/22, 23.08, 24.74, 22.84, 24.58, 65619680
05/16/22, 21.86, 22.51, 21.20, 21.37, 49300820
05/13/22, 20.57, 22.91, 20.18, 22.49, 65885875
05/12/22, 18.51, 19.99, 17.96, 19.41, 79889133
05/11/22, 20.53, 22.00, 18.97, 19.15, 76546008
05/10/22, 21.45, 22.145, 19.72, 21.09, 72934469
05/09/22, 21.82, 22.60, 19.32, 19.72, 72482047
05/06/22, 23.24, 24.87, 21.9401, 23.35, 73607555
05/05/22, 26.533, 26.62, 22.75, 23.99, 64302738
05/04/22, 25.69, 28.14, 23.30, 28.02, 77054180
05/03/22, 24.33, 25.68, 23.75, 25.11, 53115672
05/02/22, 22.38, 24.55, 21.81, 24.50, 57669871
04/29/22, 24.30, 25.95, 22.10, 22.24, 48104406
04/28/22, 23.20, 26.30, 22.40, 25.58, 63555754
04/27/22, 21.62, 23.59, 21.48, 21.95, 52406352
04/26/22, 24.71, 24.90, 22.35, 22.43, 55039168
04/25/22, 23.89, 25.76, 23.675, 25.67, 58210602
04/22/22, 26.10, 26.56, 24.37, 24.45, 57459230
04/21/22, 29.60, 30.57, 25.81, 26.21, 53808488
04/20/22, 30.07, 30.85, 28.235, 28.50, 51891871
04/19/22, 26.68, 28.89, 26.22, 28.75, 45358809
04/18/22, 25.26, 27.67, 25.16, 26.98, 49251727
04/14/22, 28.55, 28.6199, 25.54, 25.61, 51193152
04/13/22, 26.77, 28.54, 26.31, 28.03, 50483961
04/12/22, 28.04, 28.84, 25.86, 26.24, 66793211
04/11/22, 27.04, 27.71, 26.34, 26.49, 60558152
04/08/22, 29.86, 29.9599, 28.15, 28.29, 71608867
04/07/22, 30.25, 31.42, 28.6606, 30.51, 55657312
04/06/22, 30.85, 32.10, 29.56, 30.51, 69146898
04/05/22, 37.09, 37.24, 32.53, 32.88, 57649641
04/04/22, 36.58, 38.22, 36.17, 37.96, 28200500
04/01/22, 39.07, 39.33, 34.62, 36.29, 57428512
03/31/22, 41.26, 41.84, 38.42, 38.78, 38547379
03/30/22, 44.71, 45.20, 40.6823, 41.35, 38435727
03/29/22, 44.84, 46.00, 43.11, 45.58, 40148512
